------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.2 port 56701
[  2] local 10.0.0.1 port 8 connected with 10.0.0.4 port 52384
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 42.0000-43.0000 sec  1.16 MBytes  9.73 Mbits/sec   0.051 ms 0/827 (0%)
[  3] 41.0000-42.0000 sec   612 KBytes  5.01 Mbits/sec   0.214 ms 0/426 (0%)
[  4] 41.0000-42.0000 sec   656 KBytes  5.37 Mbits/sec   0.276 ms 0/457 (0%)
[  2] 43.0000-44.0000 sec   732 KBytes  6.00 Mbits/sec   0.130 ms 0/510 (0%)
[  1] 43.0000-44.0000 sec   854 KBytes  7.00 Mbits/sec   0.109 ms 0/595 (0%)
[  3] 42.0000-43.0000 sec   610 KBytes  5.00 Mbits/sec   0.172 ms 0/425 (0%)
[  4] 42.0000-43.0000 sec   610 KBytes  5.00 Mbits/sec   0.379 ms 0/425 (0%)
[  2] 44.0000-45.0000 sec   732 KBytes  6.00 Mbits/sec   0.177 ms 0/510 (0%)
[  1] 44.0000-45.0000 sec   856 KBytes  7.01 Mbits/sec   0.117 ms 0/596 (0%)
[  3] 43.0000-44.0000 sec   610 KBytes  5.00 Mbits/sec   0.213 ms 0/425 (0%)
[  4] 43.0000-44.0000 sec   610 KBytes  5.00 Mbits/sec   0.248 ms 0/425 (0%)
[  2] 45.0000-46.0000 sec   732 KBytes  6.00 Mbits/sec   0.131 ms 0/510 (0%)
[  1] 45.0000-46.0000 sec   854 KBytes  7.00 Mbits/sec   0.108 ms 0/595 (0%)
[  3] 44.0000-45.0000 sec   610 KBytes  5.00 Mbits/sec   0.216 ms 0/425 (0%)
[  4] 44.0000-45.0000 sec   610 KBytes  5.00 Mbits/sec   0.376 ms 0/425 (0%)
[  2] 46.0000-47.0000 sec   732 KBytes  6.00 Mbits/sec   0.106 ms 0/510 (0%)
[  1] 46.0000-47.0000 sec   854 KBytes  7.00 Mbits/sec   0.107 ms 0/595 (0%)
[  3] 45.0000-46.0000 sec   612 KBytes  5.01 Mbits/sec   0.216 ms 0/426 (0%)
[  4] 45.0000-46.0000 sec   612 KBytes  5.01 Mbits/sec   0.351 ms 0/426 (0%)
[  2] 47.0000-48.0000 sec   734 KBytes  6.01 Mbits/sec   0.143 ms 0/511 (0%)
[  1] 47.0000-48.0000 sec   854 KBytes  7.00 Mbits/sec   0.056 ms 0/595 (0%)
[  3] 46.0000-47.0000 sec   610 KBytes  5.00 Mbits/sec   0.188 ms 0/425 (0%)
[  4] 46.0000-47.0000 sec   610 KBytes  5.00 Mbits/sec   0.293 ms 0/425 (0%)
[  2] 48.0000-49.0000 sec   732 KBytes  6.00 Mbits/sec   0.171 ms 0/510 (0%)
[  1] 48.0000-49.0000 sec   856 KBytes  7.01 Mbits/sec   0.061 ms 0/596 (0%)
[  3] 47.0000-48.0000 sec   610 KBytes  5.00 Mbits/sec   0.176 ms 0/425 (0%)
[  4] 47.0000-48.0000 sec   610 KBytes  5.00 Mbits/sec   0.301 ms 0/425 (0%)
[  2] 49.0000-50.0000 sec   732 KBytes  6.00 Mbits/sec   0.136 ms 0/510 (0%)
[  1] 49.0000-50.0000 sec   853 KBytes  6.99 Mbits/sec   0.067 ms 0/594 (0%)
[  3] 48.0000-49.0000 sec   610 KBytes  5.00 Mbits/sec   0.171 ms 0/425 (0%)
[  4] 48.0000-49.0000 sec   610 KBytes  5.00 Mbits/sec   0.453 ms 0/425 (0%)
[  2] 50.0000-51.0000 sec   732 KBytes  6.00 Mbits/sec   0.124 ms 0/510 (0%)
[  1] 50.0000-51.0000 sec   856 KBytes  7.01 Mbits/sec   0.093 ms 0/596 (0%)
[  3] 49.0000-50.0000 sec   610 KBytes  5.00 Mbits/sec   0.268 ms 0/425 (0%)
[  4] 49.0000-50.0000 sec   610 KBytes  5.00 Mbits/sec   0.345 ms 0/425 (0%)
[  2] 51.0000-52.0000 sec   732 KBytes  6.00 Mbits/sec   0.173 ms 0/510 (0%)
[  1] 51.0000-52.0000 sec   854 KBytes  7.00 Mbits/sec   0.083 ms 0/595 (0%)
[  3] 50.0000-51.0000 sec   610 KBytes  5.00 Mbits/sec   0.229 ms 0/425 (0%)
[  4] 50.0000-51.0000 sec   612 KBytes  5.01 Mbits/sec   0.343 ms 0/426 (0%)
[  2] 52.0000-53.0000 sec   732 KBytes  6.00 Mbits/sec   0.114 ms 0/510 (0%)
[  1] 52.0000-53.0000 sec   856 KBytes  7.01 Mbits/sec   0.103 ms 0/596 (0%)
[  3] 51.0000-52.0000 sec   612 KBytes  5.01 Mbits/sec   0.184 ms 0/426 (0%)
[  4] 51.0000-52.0000 sec   610 KBytes  5.00 Mbits/sec   0.324 ms 0/425 (0%)
[  2] 53.0000-54.0000 sec   734 KBytes  6.01 Mbits/sec   0.152 ms 0/511 (0%)
[  1] 53.0000-54.0000 sec   854 KBytes  7.00 Mbits/sec   0.112 ms 0/595 (0%)
[  3] 52.0000-53.0000 sec   610 KBytes  5.00 Mbits/sec   0.175 ms 0/425 (0%)
[  4] 52.0000-53.0000 sec   610 KBytes  5.00 Mbits/sec   0.319 ms 0/425 (0%)
[  2] 54.0000-55.0000 sec   732 KBytes  6.00 Mbits/sec   0.128 ms 0/510 (0%)
[  1] 54.0000-55.0000 sec   854 KBytes  7.00 Mbits/sec   0.138 ms 0/595 (0%)
[  3] 53.0000-54.0000 sec   610 KBytes  5.00 Mbits/sec   0.220 ms 0/425 (0%)
[  4] 53.0000-54.0000 sec   610 KBytes  5.00 Mbits/sec   0.373 ms 0/425 (0%)
[  2] 55.0000-56.0000 sec   732 KBytes  6.00 Mbits/sec   0.131 ms 0/510 (0%)
[  1] 55.0000-56.0000 sec   854 KBytes  7.00 Mbits/sec   0.061 ms 0/595 (0%)
[  3] 54.0000-55.0000 sec   610 KBytes  5.00 Mbits/sec   0.199 ms 0/425 (0%)
[  4] 54.0000-55.0000 sec   610 KBytes  5.00 Mbits/sec   0.341 ms 0/425 (0%)
[  2] 56.0000-57.0000 sec   732 KBytes  6.00 Mbits/sec   0.146 ms 0/510 (0%)
[  1] 56.0000-57.0000 sec   854 KBytes  7.00 Mbits/sec   0.101 ms 0/595 (0%)
[  3] 55.0000-56.0000 sec   610 KBytes  5.00 Mbits/sec   0.184 ms 0/425 (0%)
[  4] 55.0000-56.0000 sec   612 KBytes  5.01 Mbits/sec   0.347 ms 0/426 (0%)
[  1] 57.0000-58.0000 sec   856 KBytes  7.01 Mbits/sec   0.093 ms 0/596 (0%)
[  2] 57.0000-58.0000 sec   734 KBytes  6.01 Mbits/sec   0.170 ms 0/511 (0%)
[  3] 56.0000-57.0000 sec   610 KBytes  5.00 Mbits/sec   0.183 ms 0/425 (0%)
[  4] 56.0000-57.0000 sec   610 KBytes  5.00 Mbits/sec   0.376 ms 0/425 (0%)
[  2] 58.0000-59.0000 sec   732 KBytes  6.00 Mbits/sec   0.130 ms 0/510 (0%)
[  1] 58.0000-59.0000 sec   854 KBytes  7.00 Mbits/sec   0.104 ms 0/595 (0%)
[  3] 57.0000-58.0000 sec   612 KBytes  5.01 Mbits/sec   0.165 ms 0/426 (0%)
[  4] 57.0000-58.0000 sec   610 KBytes  5.00 Mbits/sec   0.440 ms 0/425 (0%)
[  2] 59.0000-60.0000 sec   732 KBytes  6.00 Mbits/sec   0.103 ms 0/510 (0%)
[  1] 59.0000-60.0000 sec   854 KBytes  7.00 Mbits/sec   0.091 ms 0/595 (0%)
[  3] 58.0000-59.0000 sec   610 KBytes  5.00 Mbits/sec   0.217 ms 0/425 (0%)
[  4] 58.0000-59.0000 sec   610 KBytes  5.00 Mbits/sec   0.389 ms 0/425 (0%)
[  2] 60.0000-61.0000 sec   732 KBytes  6.00 Mbits/sec   0.158 ms 0/510 (0%)
[  1] 60.0000-61.0000 sec   856 KBytes  7.01 Mbits/sec   0.040 ms 0/596 (0%)
[  3] 59.0000-60.0000 sec   610 KBytes  5.00 Mbits/sec   0.206 ms 0/425 (0%)
[  4] 59.0000-60.0000 sec   610 KBytes  5.00 Mbits/sec   0.396 ms 0/425 (0%)
[  2] 61.0000-62.0000 sec   732 KBytes  6.00 Mbits/sec   0.188 ms 0/510 (0%)
[  1] 61.0000-62.0000 sec   854 KBytes  7.00 Mbits/sec   0.146 ms 0/595 (0%)
[  3] 60.0000-61.0000 sec   610 KBytes  5.00 Mbits/sec   0.175 ms 0/425 (0%)
[  4] 60.0000-61.0000 sec   610 KBytes  5.00 Mbits/sec   0.331 ms 0/425 (0%)
[  2] 62.0000-63.0000 sec   734 KBytes  6.01 Mbits/sec   0.140 ms 0/511 (0%)
[  1] 62.0000-63.0000 sec   854 KBytes  7.00 Mbits/sec   0.075 ms 0/595 (0%)
[  3] 61.0000-62.0000 sec   610 KBytes  5.00 Mbits/sec   0.171 ms 0/425 (0%)
