------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.4 port 35580
[  2] local 10.0.0.1 port 8 connected with 10.0.0.2 port 45788
[  3] local 10.0.0.1 port 8 connected with 10.0.0.5 port 34693
[  4] local 10.0.0.1 port 8 connected with 10.0.0.3 port 34034
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  2] 43.0000-44.0000 sec   854 KBytes  7.00 Mbits/sec   0.070 ms 0/595 (0%)
[  3] 43.0000-44.0000 sec   610 KBytes  5.00 Mbits/sec   0.314 ms 0/425 (0%)
[  4] 44.0000-45.0000 sec   610 KBytes  5.00 Mbits/sec   0.159 ms 0/425 (0%)
[  1] 44.0000-45.0000 sec   732 KBytes  6.00 Mbits/sec   0.134 ms 0/510 (0%)
[  2] 44.0000-45.0000 sec   854 KBytes  7.00 Mbits/sec   0.096 ms 0/595 (0%)
[  3] 44.0000-45.0000 sec   610 KBytes  5.00 Mbits/sec   0.324 ms 0/425 (0%)
[  1] 45.0000-46.0000 sec   732 KBytes  6.00 Mbits/sec   0.170 ms 0/510 (0%)
[  2] 45.0000-46.0000 sec   854 KBytes  7.00 Mbits/sec   0.171 ms 0/595 (0%)
[  3] 45.0000-46.0000 sec   610 KBytes  5.00 Mbits/sec   0.313 ms 0/425 (0%)
[  4] 45.0000-46.0000 sec   610 KBytes  5.00 Mbits/sec   0.157 ms 0/425 (0%)
[  1] 46.0000-47.0000 sec   732 KBytes  6.00 Mbits/sec   0.167 ms 0/510 (0%)
[  4] 46.0000-47.0000 sec   610 KBytes  5.00 Mbits/sec   0.217 ms 0/425 (0%)
[  2] 46.0000-47.0000 sec   856 KBytes  7.01 Mbits/sec   0.079 ms 0/596 (0%)
[  3] 46.0000-47.0000 sec   612 KBytes  5.01 Mbits/sec   0.337 ms 0/426 (0%)
[  4] 47.0000-48.0000 sec   610 KBytes  5.00 Mbits/sec   0.141 ms 0/425 (0%)
[  1] 47.0000-48.0000 sec   734 KBytes  6.01 Mbits/sec   0.099 ms 0/511 (0%)
[  2] 47.0000-48.0000 sec   854 KBytes  7.00 Mbits/sec   0.066 ms 0/595 (0%)
[  3] 47.0000-48.0000 sec   610 KBytes  5.00 Mbits/sec   0.324 ms 0/425 (0%)
[  4] 48.0000-49.0000 sec   610 KBytes  5.00 Mbits/sec   0.178 ms 0/425 (0%)
[  1] 48.0000-49.0000 sec   732 KBytes  6.00 Mbits/sec   0.171 ms 0/510 (0%)
[  2] 48.0000-49.0000 sec   854 KBytes  7.00 Mbits/sec   0.104 ms 0/595 (0%)
[  3] 48.0000-49.0000 sec   610 KBytes  5.00 Mbits/sec   0.377 ms 0/425 (0%)
[  4] 49.0000-50.0000 sec   610 KBytes  5.00 Mbits/sec   0.132 ms 0/425 (0%)
[  1] 49.0000-50.0000 sec   732 KBytes  6.00 Mbits/sec   0.145 ms 0/510 (0%)
[  2] 49.0000-50.0000 sec   854 KBytes  7.00 Mbits/sec   0.107 ms 0/595 (0%)
[  3] 49.0000-50.0000 sec   610 KBytes  5.00 Mbits/sec   0.317 ms 0/425 (0%)
[  1] 50.0000-51.0000 sec   732 KBytes  6.00 Mbits/sec   0.146 ms 0/510 (0%)
[  2] 50.0000-51.0000 sec   856 KBytes  7.01 Mbits/sec   0.098 ms 0/596 (0%)
[  3] 50.0000-51.0000 sec   610 KBytes  5.00 Mbits/sec   0.293 ms 0/425 (0%)
[  4] 50.0000-51.0000 sec   612 KBytes  5.01 Mbits/sec   0.162 ms 0/426 (0%)
[  4] 51.0000-52.0000 sec   610 KBytes  5.00 Mbits/sec   0.120 ms 0/425 (0%)
[  1] 51.0000-52.0000 sec   732 KBytes  6.00 Mbits/sec   0.162 ms 0/510 (0%)
[  2] 51.0000-52.0000 sec   854 KBytes  7.00 Mbits/sec   0.068 ms 0/595 (0%)
[  3] 51.0000-52.0000 sec   610 KBytes  5.00 Mbits/sec   0.269 ms 0/425 (0%)
[  4] 52.0000-53.0000 sec   610 KBytes  5.00 Mbits/sec   0.149 ms 0/425 (0%)
[  1] 52.0000-53.0000 sec   734 KBytes  6.01 Mbits/sec   0.092 ms 0/511 (0%)
[  2] 52.0000-53.0000 sec   854 KBytes  7.00 Mbits/sec   0.123 ms 0/595 (0%)
[  3] 52.0000-53.0000 sec   610 KBytes  5.00 Mbits/sec   0.253 ms 0/425 (0%)
[  4] 53.0000-54.0000 sec   610 KBytes  5.00 Mbits/sec   0.163 ms 0/425 (0%)
[  1] 53.0000-54.0000 sec   732 KBytes  6.00 Mbits/sec   0.199 ms 0/510 (0%)
[  2] 53.0000-54.0000 sec   854 KBytes  7.00 Mbits/sec   0.077 ms 0/595 (0%)
[  3] 53.0000-54.0000 sec   610 KBytes  5.00 Mbits/sec   0.378 ms 0/425 (0%)
[  1] 54.0000-55.0000 sec   732 KBytes  6.00 Mbits/sec   0.134 ms 0/510 (0%)
[  2] 54.0000-55.0000 sec   856 KBytes  7.01 Mbits/sec   0.079 ms 0/596 (0%)
[  3] 54.0000-55.0000 sec   612 KBytes  5.01 Mbits/sec   0.354 ms 0/426 (0%)
[  4] 54.0000-55.0000 sec   610 KBytes  5.00 Mbits/sec   0.206 ms 0/425 (0%)
[  4] 55.0000-56.0000 sec   612 KBytes  5.01 Mbits/sec   0.156 ms 0/426 (0%)
[  1] 55.0000-56.0000 sec   732 KBytes  6.00 Mbits/sec   0.111 ms 0/510 (0%)
[  2] 55.0000-56.0000 sec   854 KBytes  7.00 Mbits/sec   0.073 ms 0/595 (0%)
[  3] 55.0000-56.0000 sec   610 KBytes  5.00 Mbits/sec   0.334 ms 0/425 (0%)
[  4] 56.0000-57.0000 sec   610 KBytes  5.00 Mbits/sec   0.238 ms 0/425 (0%)
[  1] 56.0000-57.0000 sec   732 KBytes  6.00 Mbits/sec   0.201 ms 0/510 (0%)
[  2] 56.0000-57.0000 sec   854 KBytes  7.00 Mbits/sec   0.100 ms 0/595 (0%)
[  3] 56.0000-57.0000 sec   610 KBytes  5.00 Mbits/sec   0.354 ms 0/425 (0%)
[  4] 57.0000-58.0000 sec   610 KBytes  5.00 Mbits/sec   0.155 ms 0/425 (0%)
[  1] 57.0000-58.0000 sec   732 KBytes  6.00 Mbits/sec   0.082 ms 0/510 (0%)
[  2] 57.0000-58.0000 sec   854 KBytes  7.00 Mbits/sec   0.092 ms 0/595 (0%)
[  3] 57.0000-58.0000 sec   610 KBytes  5.00 Mbits/sec   0.404 ms 0/425 (0%)
[  1] 58.0000-59.0000 sec   734 KBytes  6.01 Mbits/sec   0.152 ms 0/511 (0%)
[  2] 58.0000-59.0000 sec   856 KBytes  7.01 Mbits/sec   0.169 ms 0/596 (0%)
[  3] 58.0000-59.0000 sec   612 KBytes  5.01 Mbits/sec   0.429 ms 0/426 (0%)
[  4] 58.0000-59.0000 sec   610 KBytes  5.00 Mbits/sec   0.176 ms 0/425 (0%)
[  1] 59.0000-60.0000 sec   732 KBytes  6.00 Mbits/sec   0.192 ms 0/510 (0%)
[  4] 59.0000-60.0000 sec   610 KBytes  5.00 Mbits/sec   0.158 ms 0/425 (0%)
[  2] 59.0000-60.0000 sec   854 KBytes  7.00 Mbits/sec   0.079 ms 0/595 (0%)
[  3] 59.0000-60.0000 sec   610 KBytes  5.00 Mbits/sec   0.383 ms 0/425 (0%)
[  4] 60.0000-61.0000 sec   610 KBytes  5.00 Mbits/sec   0.165 ms 0/425 (0%)
[  1] 60.0000-61.0000 sec   732 KBytes  6.00 Mbits/sec   0.113 ms 0/510 (0%)
[  2] 60.0000-61.0000 sec   854 KBytes  7.00 Mbits/sec   0.091 ms 0/595 (0%)
[  3] 60.0000-61.0000 sec   610 KBytes  5.00 Mbits/sec   0.380 ms 0/425 (0%)
[  4] 61.0000-62.0000 sec   612 KBytes  5.01 Mbits/sec   0.205 ms 0/426 (0%)
[  1] 61.0000-62.0000 sec   734 KBytes  6.01 Mbits/sec   0.173 ms 0/511 (0%)
