exec sudo mnexec -a 24189 iperf -s -u -p 8 -i 1
------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.4 port 60989
[  2] local 10.0.0.1 port 8 connected with 10.0.0.5 port 48225
[  3] local 10.0.0.1 port 8 connected with 10.0.0.2 port 43957
[  4] local 10.0.0.1 port 8 connected with 10.0.0.3 port 60239
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 27.0000-28.0000 sec   732 KBytes  6.00 Mbits/sec   0.346 ms 0/510 (0%)
[  3] 27.0000-28.0000 sec   854 KBytes  7.00 Mbits/sec   0.334 ms 0/595 (0%)
[  4] 27.0000-28.0000 sec   610 KBytes  5.00 Mbits/sec   0.421 ms 0/425 (0%)
[  2] 27.0000-28.0000 sec   610 KBytes  5.00 Mbits/sec   0.025 ms 0/425 (0%)
[  1] 28.0000-29.0000 sec   732 KBytes  6.00 Mbits/sec   0.307 ms 0/510 (0%)
[  3] 28.0000-29.0000 sec   854 KBytes  7.00 Mbits/sec   0.193 ms 0/595 (0%)
[  4] 28.0000-29.0000 sec   610 KBytes  5.00 Mbits/sec   0.322 ms 0/425 (0%)
[  2] 28.0000-29.0000 sec   612 KBytes  5.01 Mbits/sec   0.012 ms 0/426 (0%)
[  1] 29.0000-30.0000 sec   732 KBytes  6.00 Mbits/sec   0.331 ms 0/510 (0%)
[  3] 29.0000-30.0000 sec   854 KBytes  7.00 Mbits/sec   0.234 ms 0/595 (0%)
[  2] 29.0000-30.0000 sec   610 KBytes  5.00 Mbits/sec   0.062 ms 0/425 (0%)
[  4] 29.0000-30.0000 sec   610 KBytes  5.00 Mbits/sec   0.345 ms 0/425 (0%)
[  1] 30.0000-31.0000 sec   734 KBytes  6.01 Mbits/sec   0.323 ms 0/511 (0%)
[  2] 30.0000-31.0000 sec   610 KBytes  5.00 Mbits/sec   0.058 ms 0/425 (0%)
[  3] 30.0000-31.0000 sec   856 KBytes  7.01 Mbits/sec   0.241 ms 0/596 (0%)
[  4] 30.0000-31.0000 sec   612 KBytes  5.01 Mbits/sec   0.379 ms 0/426 (0%)
[  1] 31.0000-32.0000 sec   732 KBytes  6.00 Mbits/sec   0.295 ms 0/510 (0%)
[  3] 31.0000-32.0000 sec   854 KBytes  7.00 Mbits/sec   0.191 ms 0/595 (0%)
[  4] 31.0000-32.0000 sec   610 KBytes  5.00 Mbits/sec   0.362 ms 0/425 (0%)
[  2] 31.0000-32.0000 sec   610 KBytes  5.00 Mbits/sec   0.021 ms 0/425 (0%)
[  1] 32.0000-33.0000 sec   732 KBytes  6.00 Mbits/sec   0.349 ms 0/510 (0%)
[  3] 32.0000-33.0000 sec   854 KBytes  7.00 Mbits/sec   0.235 ms 0/595 (0%)
[  4] 32.0000-33.0000 sec   610 KBytes  5.00 Mbits/sec   0.404 ms 0/425 (0%)
[  2] 32.0000-33.0000 sec   610 KBytes  5.00 Mbits/sec   0.030 ms 0/425 (0%)
[  1] 33.0000-34.0000 sec   732 KBytes  6.00 Mbits/sec   0.255 ms 0/510 (0%)
[  3] 33.0000-34.0000 sec   854 KBytes  7.00 Mbits/sec   0.221 ms 0/595 (0%)
[  4] 33.0000-34.0000 sec   610 KBytes  5.00 Mbits/sec   0.407 ms 0/425 (0%)
[  2] 33.0000-34.0000 sec   610 KBytes  5.00 Mbits/sec   0.034 ms 0/425 (0%)
[  1] 34.0000-35.0000 sec   734 KBytes  6.01 Mbits/sec   0.361 ms 0/511 (0%)
[  3] 34.0000-35.0000 sec   854 KBytes  7.00 Mbits/sec   0.239 ms 0/595 (0%)
[  2] 34.0000-35.0000 sec   612 KBytes  5.01 Mbits/sec   0.077 ms 0/426 (0%)
[  4] 34.0000-35.0000 sec   612 KBytes  5.01 Mbits/sec   0.394 ms 0/426 (0%)
[  1] 35.0000-36.0000 sec   731 KBytes  5.99 Mbits/sec   0.342 ms 0/509 (0%)
[  3] 35.0000-36.0000 sec   856 KBytes  7.01 Mbits/sec   0.219 ms 0/596 (0%)
[  4] 35.0000-36.0000 sec   610 KBytes  5.00 Mbits/sec   0.478 ms 0/425 (0%)
[  2] 35.0000-36.0000 sec   610 KBytes  5.00 Mbits/sec   0.014 ms 0/425 (0%)
[  1] 36.0000-37.0000 sec   734 KBytes  6.01 Mbits/sec   0.298 ms 0/511 (0%)
[  3] 36.0000-37.0000 sec   854 KBytes  7.00 Mbits/sec   0.205 ms 0/595 (0%)
[  4] 36.0000-37.0000 sec   610 KBytes  5.00 Mbits/sec   0.370 ms 0/425 (0%)
[  2] 36.0000-37.0000 sec   610 KBytes  5.00 Mbits/sec   0.012 ms 0/425 (0%)
[  1] 37.0000-38.0000 sec   732 KBytes  6.00 Mbits/sec   0.341 ms 0/510 (0%)
